device_id,ts,bat,acc1,acc2,acc3,acc4,acc5,wei,tmp1,tmp2,tmp3,lat,lon,ts_gps,checksum
f7f7f7f7,1544691411,4041,600,0,0,0,0,,272,271,278,0,0,0,f8
f5f5f5f5,1544692429,4041,600,0,0,0,0,1.401298464324817e-44,289,294,295,0,0,1544699587,54
f3f3f3f3,1544692604,3880,599,1,0,0,0,2.2420775429197073e-44,243,237,226,3449.458984375,7117.244140625,1544703565,e9
f2f2f2f2,1544692323,3989,600,0,0,0,0,5.731310719088502e-43,255,258,256,3449.4560546875,7117.24609375,1544703587,fb
f7f7f7f7,1544691450,4054,600,0,0,0,0,,289,286,291,0,0,0,ca
f5f5f5f5,1544692467,4041,600,0,0,0,0,7.006492321624085e-45,294,298,300,0,0,1544699587,65
f2f2f2f2,1544692362,3989,600,0,0,0,0,3.923635700109488e-43,264,267,261,3449.456298828125,7117.24462890625,1544703622,80
f7f7f7f7,1544691490,4034,600,0,0,0,0,,306,302,304,0,0,0,20
f5f5f5f5,1544692506,4041,600,0,0,0,0,,293,300,302,0,0,1544699587,8f
f2f2f2f2,1544692400,3989,600,0,0,0,0,3.923635700109488e-43,274,278,267,3449.461181640625,7117.2509765625,1544703665,5c
f7f7f7f7,1544691529,4054,600,0,0,0,0,,313,311,309,0,0,0,41
f5f5f5f5,1544692545,4041,600,0,0,0,0,1.8216880036222622e-44,297,303,304,0,0,1544699587,c8
f6f6f6f6,1544693268,4073,600,0,0,0,0,4.2627499284760935e-42,212,195,185,3449.44189453125,7117.24365234375,1544703686,26
f3f3f3f3,1544692722,3880,600,0,0,0,0,3.916629207787864e-42,240,237,228,3449.475341796875,7117.25048828125,1544703685,20
f2f2f2f2,1544692439,3983,600,0,0,0,0,3.937648684752736e-43,285,289,272,3449.46337890625,7117.25244140625,1544703700,6a
f7f7f7f7,1544691569,4034,600,0,0,0,0,,325,323,318,0,0,0,75
f3f3f3f3,1544692761,3880,600,0,0,0,0,3.852169478428922e-42,238,235,228,3449.443359375,7117.23974609375,1544703725,c0
f2f2f2f2,1544692477,3983,600,0,0,0,0,3.965674654039232e-43,293,296,276,3449.45556640625,7117.2451171875,1544703742,8d
f7f7f7f7,1544691608,4047,600,0,0,0,0,,334,332,323,0,0,0,ee
f5f5f5f5,1544692622,4041,600,0,0,0,0,9.80908925027372e-45,307,313,313,0,0,1544699587,8
f6f6f6f6,1544693346,4073,600,0,0,0,0,4.2557434361544694e-42,214,196,186,3449.46044921875,7117.2451171875,1544703763,f4
f3f3f3f3,1544692800,3880,600,0,0,0,0,3.832551299928375e-42,237,234,227,3449.451171875,7117.2412109375,1544703764,53
f2f2f2f2,1544692516,3983,600,0,0,0,0,1.0229478789571165e-42,298,299,276,3449.4580078125,7117.24755859375,1544703778,55
f4f4f4f4,1544689438,4086,600,0,0,0,0,,267,264,262,3449.451416015625,7117.24609375,1544703775,ab
f7f7f7f7,1544691647,4034,600,0,0,0,0,,342,341,329,0,0,0,cb
f5f5f5f5,1544692661,4041,600,0,0,0,0,1.8216880036222622e-44,316,319,319,0,0,1544699587,36
f6f6f6f6,1544693385,4073,600,0,0,0,0,4.25294083922582e-42,214,196,186,3449.45166015625,7117.2412109375,1544703802,4c
f3f3f3f3,1544692840,3880,600,0,0,0,0,3.874590253858119e-42,237,234,227,3449.43408203125,7117.234375,1544703804,f4
f2f2f2f2,1544692555,3983,600,0,0,0,0,1.0005271035279194e-42,303,300,276,3449.458740234375,7117.24609375,1544703814,4c
f4f4f4f4,1544689478,4086,600,0,0,0,0,,269,266,263,3449.45263671875,7117.2451171875,1544703815,a0
f7f7f7f7,1544691687,4047,600,0,0,0,0,,348,349,336,0,0,0,83
f5f5f5f5,1544692700,4041,600,0,0,0,0,8.407790785948902e-45,321,325,323,0,0,1544699587,2f
f6f6f6f6,1544693424,4073,600,0,0,0,0,4.265552525404743e-42,215,196,186,3449.445556640625,7117.2392578125,1544703841,f
f3f3f3f3,1544692879,3880,598,2,0,0,0,3.845162986107298e-42,240,234,228,3449.451171875,7117.244140625,1544703843,f0
f7f7f7f7,1544691726,4028,600,0,0,0,0,,354,354,340,0,0,0,29
f5f5f5f5,1544692738,4041,600,0,0,0,0,0,320,326,323,0,0,1544699587,f2
f2f2f2f2,1544692632,3983,600,0,0,0,0,9.935206112062953e-43,311,304,276,3449.460693359375,7117.2470703125,1544703892,4c
f4f4f4f4,1544689557,4086,600,0,0,0,0,,273,270,266,3449.4443359375,7117.24462890625,1544703895,90
f7f7f7f7,1544691766,4047,600,0,0,0,0,,363,362,347,0,0,0,65
f5f5f5f5,1544692777,4041,600,0,0,0,0,4.203895392974451e-45,322,327,325,0,0,1544699587,df
f3f3f3f3,1544692958,3880,600,0,0,0,0,4.196888900652827e-42,247,232,227,3449.465576171875,7117.2099609375,1544703921,66
f2f2f2f2,1544692670,3983,600,0,0,0,0,9.977245065992698e-43,314,304,275,3449.45947265625,7117.2470703125,1544703935,43
f7f7f7f7,1544691805,4034,600,0,0,0,0,5.605193857299268e-45,370,371,354,0,0,0,33
f5f5f5f5,1544692816,4041,600,0,0,0,0,,327,331,329,0,0,1544699587,a6
f2f2f2f2,1544692709,3983,600,0,0,0,0,9.96323208134945e-43,319,306,276,3449.47119140625,7117.255859375,1544703970,6f
f4f4f4f4,1544689636,4086,600,0,0,0,0,,277,274,270,3449.44677734375,7117.24560546875,1544703974,b5
f7f7f7f7,1544691845,4047,600,0,0,0,0,,367,371,354,0,0,0,ef
f5f5f5f5,1544692854,4041,600,0,0,0,0,2.802596928649634e-45,328,332,330,0,0,1544699587,8f
f6f6f6f6,1544693580,4073,599,1,0,0,0,4.6691264831302905e-42,233,199,187,3449.472900390625,7117.23681640625,1544703997,5
f2f2f2f2,1544692747,3983,600,0,0,0,0,9.907180142776457e-43,316,305,276,3449.459716796875,7117.2451171875,1544704006,51
f7f7f7f7,1544691884,4034,600,0,0,0,0,,366,369,353,0,0,0,ca
f5f5f5f5,1544692893,4041,600,0,0,0,0,1.1210387714598537e-44,322,331,328,0,0,1544699587,61
f6f6f6f6,1544693619,4073,599,1,0,0,0,4.1940863037241775e-42,237,200,187,3449.455322265625,7117.23876953125,1544704036,90
f2f2f2f2,1544692786,3983,600,0,0,0,0,9.949219096706201e-43,319,305,276,3449.451416015625,7117.2421875,1544704048,3c
f3f3f3f3,1544693076,3880,600,0,0,0,0,4.237526556118247e-42,263,237,227,3449.45361328125,7117.2548828125,1544704040,6a
f4f4f4f4,1544689715,4086,600,0,0,0,0,,279,277,272,3449.45703125,7117.24560546875,1544704052,c9
f7f7f7f7,1544691923,4047,600,0,0,0,0,,374,377,359,0,0,0,bf
f5f5f5f5,1544692932,4041,600,0,0,0,0,2.6624670822171524e-44,327,336,332,0,0,1544699587,39
